============================ slowest test durations ============================
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.demo_5]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.get_batch_list_5]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.clean_5]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_37]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.list_5]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.build_6]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_36]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.new_5]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.new_4]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[legacy_profiler.build_suite_2]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.new_4]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.clean_0]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.store.list_2]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.delete_6]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[checkpoint.run_8]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.project.upgrade_0]
0.13s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.list_1]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.build_5]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.run_checkpoint_0]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_6]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_21]
0.12s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_1]
